id,year,pp,empl,x1,x2,x3,x4,x5,x6,y0,y1,y2,nace42,nace43,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,sales,costs,assets,beta,omega,mu,pp1,pp2,pp3,pp4
17046998,2010,0,31,0,0,.11003437,.078776382,.094613887,.084166974,.082361221,.076175094,.044167183,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.506529,17.873199,13.925571,.67991042,6.7419543,1.1163164,0,0,0,0
17046998,2011,0,31,0,.11003437,.078776382,.094613887,.084166974,.082361221,.076175094,.044167183,.065304272,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.75028,18.070137,15.13202,.67592633,6.6947002,1.0819623,0,0,0,0
17046998,2012,0,31,.11003437,.078776382,.094613887,.084166974,.082361221,.076175094,.044167183,.065304272,.063232824,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.545366,17.819046,15.467926,.67182547,6.6080556,1.0992343,0,0,0,0
17046998,2013,0,31,.078776382,.094613887,.084166974,.082361221,.076175094,.044167183,.065304272,.063232824,.13178588,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.396589,17.661917,15.230941,.67144984,6.5657635,1.0878105,0,0,0,0
17046998,2014,0,31,.094613887,.084166974,.082361221,.076175094,.044167183,.065304272,.063232824,.13178588,.16524281,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.252277,17.514015,15.761099,.6674065,6.4769115,1.085848,0,0,0,0
17046998,2015,0,31,.084166974,.082361221,.076175094,.044167183,.065304272,.063232824,.13178588,.16524281,.2235074,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.426702,17.672691,15.786064,.66883588,6.5190897,1.0791515,0,0,0,0
17046998,2016,0,31,.082361221,.076175094,.044167183,.065304272,.063232824,.13178588,.16524281,.2235074,.22368538,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.744474,17.816751,15.765817,.67034376,6.534164,1.0451571,0,0,0,0
17046998,2017,0,31,.076175094,.044167183,.065304272,.063232824,.13178588,.16524281,.2235074,.22368538,.23875985,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.577921,17.795198,15.625159,.67082202,6.5593758,1.0674838,0,0,0,0
17046998,2018,0,31,.044167183,.065304272,.063232824,.13178588,.16524281,.2235074,.22368538,.23875985,.19741729,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.686842,17.827225,15.52865,.67160797,6.5746894,1.0652748,0,0,0,0
17046998,2019,0,31,.065304272,.063232824,.13178588,.16524281,.2235074,.22368538,.23875985,.19741729,.1980373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.427279,17.626324,15.735663,.66862935,6.5639844,1.140864,0,0,0,0
