id,year,pp,empl,x1,x2,x3,x4,x5,x6,y0,y1,y2,nace42,nace43,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,sales,costs,assets,beta,omega,mu,pp1,pp2,pp3,pp4
17046998,2010,0,31,,,.14930369,.098001033,.082390979,.070119068,.03083246,.049684696,.025162918,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.506529,17.873199,13.925571,.69906932,6.8043885,1.1610255,0,0,0,0
17046998,2011,0,31,,.14930369,.098001033,.082390979,.070119068,.03083246,.049684696,.025162918,.05375753,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.75028,18.070137,15.13202,.664244,6.8026071,1.1029639,0,0,0,0
17046998,2012,0,31,.14930369,.098001033,.082390979,.070119068,.03083246,.049684696,.025162918,.05375753,.036339115,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.545366,17.819046,15.467926,.64418787,6.7006779,1.0858803,0,0,0,0
17046998,2013,0,31,.098001033,.082390979,.070119068,.03083246,.049684696,.025162918,.05375753,.036339115,.065239616,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.396589,17.661917,15.230941,.64701766,6.6518154,1.0726359,0,0,0,0
17046998,2014,0,31,.082390979,.070119068,.03083246,.049684696,.025162918,.05375753,.036339115,.065239616,.064652897,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.252277,17.514015,15.761099,.62377495,6.5362988,1.0313127,0,0,0,0
17046998,2015,0,31,.070119068,.03083246,.049684696,.025162918,.05375753,.036339115,.065239616,.064652897,.09276662,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.426702,17.672691,15.786064,.6282897,6.6041908,1.0509397,0,0,0,0
17046998,2016,0,31,.03083246,.049684696,.025162918,.05375753,.036339115,.065239616,.064652897,.09276662,.092926316,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.744474,17.816751,15.765817,.63386458,6.6263828,1.0254822,0,0,0,0
17046998,2017,0,31,.049684696,.025162918,.05375753,.036339115,.065239616,.064652897,.09276662,.092926316,.10956994,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.577921,17.795198,15.625159,.63797247,6.6565332,1.0552287,0,0,0,0
17046998,2018,0,31,.025162918,.05375753,.036339115,.065239616,.064652897,.09276662,.092926316,.10956994,.088570423,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.686842,17.827225,15.52865,.6423763,6.654099,1.0370075,0,0,0,0
17046998,2019,0,31,.05375753,.036339115,.065239616,.064652897,.09276662,.092926316,.10956994,.088570423,.081907928,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.427279,17.626324,15.735663,.62845296,6.6083617,1.0674148,0,0,0,0
17046998,2020,0,31,.036339115,.065239616,.064652897,.09276662,.092926316,.10956994,.088570423,.081907928,.086232729,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.303606,17.566236,15.573772,.63198626,6.5990701,1.0667887,0,0,0,0
17046998,2021,0,31,.065239616,.064652897,.09276662,.092926316,.10956994,.088570423,.081907928,.14587356,.091371141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.828094,17.849957,16.245205,.61850101,6.6704683,1.0972056,0,0,0,0
25021851,2010,0,92,,,.27774882,.2788496,.232683,.16304584,.13723347,.16488552,.13382304,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.737497,17.616394,16.267818,.60981387,6.7762852,1.3201545,0,0,0,0
25021851,2011,0,92,,.27774882,.2788496,.232683,.16304584,.13723347,.16488552,.13382304,.029426016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.76182,17.650343,16.2985,.60990822,6.7860017,1.3216085,0,0,0,0
25021851,2012,0,92,.27774882,.2788496,.232683,.16304584,.13723347,.16488552,.13382304,.029426016,.06698823,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.915455,17.863712,16.559906,.60814303,6.7873898,1.2619814,0,0,0,0
